C:\Users\LUCASA~1\AppData\Local\Temp\RenderDoc\Unity_2025.07.06_16.29_capture_2.rdc - Frame #4294967295

 EID  | Event                                                                                                                                | Action #
2136  |      \- WaitForRenderJobs                                                                                                            |       
2139  |     - GUITexture.Draw                                                                                                                |       
2153  |      \- DrawIndexedInstanced(6, 1)                                                                                                   | 185   
2159  |     - ClearRenderTargetView({ 0.00, 0.00, 0.00, 0.00 })                                                                              | 186   
2160  |     - GUITexture.Draw                                                                                                                |       
2174  |      \- DrawIndexedInstanced(6, 1)                                                                                                   | 187   
2176  |     - UIR.DrawRanges                                                                                                                 |       
2189  |      \- DrawIndexedInstanced(156, 1)                                                                                                 | 188   
2191  |     - UIR.DrawRanges                                                                                                                 |       
2199  |      \- DrawIndexedInstanced(168, 1)                                                                                                 | 189   
2201  |     - UIR.DrawRanges                                                                                                                 |       
2208  |      \- DrawIndexedInstanced(72, 1)                                                                                                  | 190   
2210  |     - UIR.DrawRanges                                                                                                                 |       
2218  |      \- DrawIndexedInstanced(228, 1)                                                                                                 | 191   
2220  |     - UIR.DrawRanges                                                                                                                 |       
2231  |      \- DrawIndexedInstanced(312, 1)                                                                                                 | 192   
2233  |     - UIR.DrawRanges                                                                                                                 |       
2241  |      \- DrawIndexedInstanced(144, 1)                                                                                                 | 193   
2246  |     - ClearRenderTargetView({ 1.00, 1.00, 1.00, 0.00 })                                                                              | 194   
2247  |     - SceneCamera.Clear                                                                                                              |       
2249  |     - GUITexture.Draw                                                                                                                |       
2260  |      \- DrawIndexedInstanced(6, 1)                                                                                                   | 195   
2270  |     - DrawIndexedInstanced(96, 1)                                                                                                    | 196   
2281  |     - DrawIndexedInstanced(12, 1)                                                                                                    | 197   
2290  |     - DrawIndexedInstanced(96, 1)                                                                                                    | 198   
2301  |     - DrawIndexedInstanced(12, 1)                                                                                                    | 199   
2310  |     - DrawIndexedInstanced(96, 1)                                                                                                    | 200   
2317  |     - DrawIndexedInstanced(36, 1)                                                                                                    | 201   
2324  |     - DrawIndexedInstanced(96, 1)                                                                                                    | 202   
2331  |     - DrawIndexedInstanced(96, 1)                                                                                                    | 203   
2338  |     - DrawIndexedInstanced(96, 1)                                                                                                    | 204   
2349  |     - DrawIndexedInstanced(12, 1)                                                                                                    | 205   
2350  |     - GUITexture.Draw                                                                                                                |       
2364  |      \- DrawIndexedInstanced(6, 1)                                                                                                   | 206   
2375  |     - DrawIndexedInstanced(36, 1)                                                                                                    | 207   
2385  |     - DrawInstanced(4, 1)                                                                                                            | 208   
2392  |     - DrawInstanced(4, 1)                                                                                                            | 209   
2399  |     - DrawInstanced(4, 1)                                                                                                            | 210   
2400  |     - UIR.DrawRanges                                                                                                                 |       
2414  |      \- DrawIndexedInstanced(84, 1)                                                                                                  | 211   
2417  |   - Graphics.Blit                                                                                                                    |       
2430  |    \- DrawIndexedInstanced(6, 1)                                                                                                     | 212   
2435  | - => ExecuteCommandLists(17)[16]: Close(Baked Command List 133225)                                                                   | 213   
2436  | - Present(BackBuffer0_0)                                                                                                             | 213   
2440  | - => ExecuteCommandLists(1)[0]: Reset(Async command list (RenderPass) (Baked))                                                       | 214   
2441  | - => ExecuteCommandLists(1)[0]: Close(Async command list (RenderPass) (Baked))                                                       | 214   
2443  | - End of Capture                                                                                                                     | 214   
